29301001125,iPhone7,EUR 545.00,Same but more expensive from Apple,969
29301001123,iPhone5,EUR 250.00,Great from Apple,345
29301001128,iPhone10,EUR 150.00,Expensive from Apple,645
29301001122,iPhone4,EUR 230.00,Old and bad from Apple,244
29301001121,iPhone3,EUR 450.00,Oldest and worst from Apple,234
29301001126,iPhone8,EUR 487.00,Not so innovative from Apple,122
29301001124,iPhone6,EUR 790.00,Better from Apple,421
29301001130,iPhone12,EUR 99.00,Latest and greatest from Apple,123
29301001129,iPhone11,EUR 56.00,Same as previous from Apple,765
29301001127,iPhone9,EUR 330.00,Skipped from Apple,423
